ProductID,Category,Sub-Category,ProductName,ProductID_Key
FUR-FU-10002759,Furniture,Furnishings,12-1/2 Diameter Round Wall Clock,124
FUR-TA-10000688,Furniture,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",125
OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",126
OFF-AP-10000804,Office Supplies,Appliances,Hoover Portapower Portable Vacuum,127
TEC-AC-10003614,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",128
FUR-FU-10003553,Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",129
OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,130
TEC-MA-10004125,Technology,Machines,Cubify CubeX 3D Printer Triple Head Print,131
OFF-AP-10002457,Office Supplies,Appliances,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",132
FUR-FU-10004071,Furniture,Furnishings,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,133
TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,134
OFF-ST-10002444,Office Supplies,Storage,Recycled Eldon Regeneration Jumbo File,135
OFF-AP-10001154,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,136
TEC-AC-10001606,Technology,Accessories,Logitech Wireless Performance Mouse MX for PC and Mac,137
OFF-PA-10001954,Office Supplies,Paper,Xerox 1964,138
FUR-TA-10002228,Furniture,Tables,"Bevis Traditional Conference Table Top, Plinth Base",139
OFF-ST-10004634,Office Supplies,Storage,"Personal Folder Holder, Ebony",140
FUR-CH-10002965,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",141
OFF-LA-10001317,Office Supplies,Labels,Avery 520,142
OFF-SU-10004498,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,143
OFF-PA-10002615,Office Supplies,Paper,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",144
OFF-PA-10004971,Office Supplies,Paper,Xerox 196,145
OFF-SU-10004261,Office Supplies,Supplies,"Fiskars 8"" Scissors, 2/Pack",146
OFF-BI-10001098,Office Supplies,Binders,Acco D-Ring Binder w/DublLock,147
TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,148
FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",149
TEC-AC-10000057,Technology,Accessories,Microsoft Natural Ergonomic Keyboard 4000,150
TEC-AC-10003441,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,151
TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,152
OFF-BI-10001071,Office Supplies,Binders,GBC ProClick Punch Binding System,153
OFF-PA-10001560,Office Supplies,Paper,"Adams Telephone Message Books, 5 1/4 x 11",154
TEC-PH-10002365,Technology,Phones,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,155
OFF-BI-10003712,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",156
OFF-AR-10001118,Office Supplies,Art,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",157
OFF-BI-10004716,Office Supplies,Binders,Wilson Jones Hanging Recycled Pressboard Data Binders,158
FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",159
FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,160
OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,161
FUR-TA-10002356,Furniture,Tables,Bevis Boat-Shaped Conference Table,162
FUR-FU-10003601,Furniture,Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",163
FUR-FU-10000576,Furniture,Furnishings,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,164
FUR-TA-10004154,Furniture,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",165
OFF-PA-10000788,Office Supplies,Paper,Xerox 210,166
OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),167
OFF-BI-10004492,Office Supplies,Binders,Tuf-Vin Binders,168
OFF-BI-10002012,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,169
OFF-PA-10001509,Office Supplies,Paper,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",170
FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,171
TEC-AC-10003198,Technology,Accessories,Enermax Acrylux Wireless Keyboard,172
FUR-FU-10000293,Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,173
OFF-PA-10001307,Office Supplies,Paper,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",174
FUR-FU-10004460,Furniture,Furnishings,"Howard Miller 12"" Round Wall Clock",175
FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,176
OFF-SU-10001935,Office Supplies,Supplies,Staple remover,177
FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,178
OFF-PA-10003127,Office Supplies,Paper,Easy-staple paper,179
OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,180
TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,181
OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,182
OFF-BI-10002049,Office Supplies,Binders,UniKeep View Case Binders,183
OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",184
FUR-FU-10000206,Furniture,Furnishings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",185
OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",186
OFF-FA-10003495,Office Supplies,Fasteners,Staples,187
OFF-EN-10003798,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with Re-Use-A-Seal Closure, 10 x 13",188
TEC-PH-10003589,Technology,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,189
OFF-PA-10004735,Office Supplies,Paper,Xerox 1905,190
OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,191
TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,192
OFF-AR-10002375,Office Supplies,Art,Newell 351,193
OFF-AR-10003811,Office Supplies,Art,Newell 327,194
OFF-EN-10001539,Office Supplies,Envelopes,Staple envelope,195
OFF-PA-10004100,Office Supplies,Paper,Xerox 216,196
OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",197
OFF-LA-10000973,Office Supplies,Labels,Avery 502,198
OFF-ST-10001476,Office Supplies,Storage,Steel Personal Filing/Posting Tote,199
OFF-PA-10002259,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",200
OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,201
OFF-PA-10001937,Office Supplies,Paper,Xerox 21,202
FUR-FU-10002268,Furniture,Furnishings,Ultra Door Push Plate,203
OFF-ST-10001321,Office Supplies,Storage,"Decoflex Hanging Personal Folder File, Blue",204
FUR-FU-10003394,Furniture,Furnishings,"Tenex ""The Solids"" Textured Chair Mats",205
OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,206
OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",207
OFF-AR-10003602,Office Supplies,Art,"Quartet Omega Colored Chalk, 12/Pack",208
TEC-AC-10004469,Technology,Accessories,Microsoft Sculpt Comfort Mouse,209
FUR-FU-10001867,Furniture,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",210
TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,211
TEC-PH-10002200,Technology,Phones,Samsung Galaxy Note 2,212
OFF-BI-10004519,Office Supplies,Binders,GBC DocuBind P100 Manual Binding Machine,213
OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,214
OFF-BI-10001575,Office Supplies,Binders,GBC Linen Binding Covers,215
OFF-ST-10003716,Office Supplies,Storage,Tennsco Double-Tier Lockers,216
OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",217
OFF-ST-10003306,Office Supplies,Storage,Letter Size Cart,218
OFF-ST-10000563,Office Supplies,Storage,Fellowes Bankers Box Stor/Drawer Steel Plus,219
OFF-AP-10004487,Office Supplies,Appliances,Kensington 4 Outlet MasterPiece Compact Power Control Center,220
OFF-BI-10002854,Office Supplies,Binders,"Performers Binder/Pad Holder, Black",221
OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,222
FUR-FU-10002554,Furniture,Furnishings,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",223
TEC-PH-10001557,Technology,Phones,Pyle PMP37LED,224
FUR-CH-10003199,Furniture,Chairs,Office Star - Contemporary Task Swivel Chair,225
OFF-BI-10004139,Office Supplies,Binders,Fellowes Presentation Covers for Comb Binding Machines,226
FUR-FU-10003724,Furniture,Furnishings,Westinghouse Clip-On Gooseneck Lamps,227
OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",228
FUR-CH-10002961,Furniture,Chairs,"Leather Task Chair, Black",229
OFF-BI-10001036,Office Supplies,Binders,Cardinal EasyOpen D-Ring Binders,230
TEC-MA-10003183,Technology,Machines,DYMO CardScan Personal V9 Business Card Scanner,231
TEC-AC-10001314,Technology,Accessories,Case Logic 2.4GHz Wireless Keyboard,232
TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,233
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",234
OFF-AR-10003405,Office Supplies,Art,"Dixon My First Ticonderoga Pencil, #2",235
OFF-LA-10002312,Office Supplies,Labels,Avery 490,236
OFF-BI-10000042,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",237
OFF-ST-10002344,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",238
OFF-PA-10001289,Office Supplies,Paper,White Computer Printout Paper by Universal,239
OFF-FA-10000053,Office Supplies,Fasteners,Revere Boxed Rubber Bands by Revere,240
FUR-FU-10004091,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Black",241
FUR-BO-10004015,Furniture,Bookcases,"Bush Andora Bookcase, Maple/Graphite Gray Finish",242
OFF-EN-10003001,Office Supplies,Envelopes,Ames Color-File Green Diamond Border X-ray Mailers,243
TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,244
OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,245
FUR-TA-10002958,Furniture,Tables,"Bevis Oval Conference Table, Walnut",246
FUR-TA-10001676,Furniture,Tables,Hon 61000 Series Interactive Training Tables,247
FUR-TA-10002622,Furniture,Tables,"Bush Andora Conference Table, Maple/Graphite Gray Finish",248
OFF-PA-10000418,Office Supplies,Paper,Xerox 189,249
FUR-TA-10001039,Furniture,Tables,KI Adjustable-Height Table,250
OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,251
OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",252
OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",253
OFF-LA-10003510,Office Supplies,Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",254
OFF-PA-10003673,Office Supplies,Paper,Strathmore Photo Mount Cards,255
OFF-BI-10004876,Office Supplies,Binders,Wilson Jones Suede Grain Vinyl Binders,256
OFF-BI-10004352,Office Supplies,Binders,Wilson Jones DublLock D-Ring Binders,257
OFF-FA-10001754,Office Supplies,Fasteners,Stockwell Gold Paper Clips,258
OFF-AR-10000634,Office Supplies,Art,Newell 320,259
FUR-FU-10004270,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",260
OFF-LA-10003121,Office Supplies,Labels,Avery 506,261
OFF-PA-10002262,Office Supplies,Paper,Xerox 192,262
OFF-PA-10002464,Office Supplies,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),263
OFF-ST-10002214,Office Supplies,Storage,X-Rack File for Hanging Folders,264
TEC-AC-10000865,Technology,Accessories,WD My Passport Ultra 500GB Portable External Hard Drive,265
OFF-AP-10004868,Office Supplies,Appliances,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,266
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,267
OFF-EN-10003160,Office Supplies,Envelopes,Pastel Pink Envelopes,268
TEC-AC-10003280,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,269
FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,270
OFF-AR-10001221,Office Supplies,Art,"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",271
OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,272
OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,273
TEC-PH-10004700,Technology,Phones,PowerGen Dual USB Car Charger,274
OFF-AR-10000823,Office Supplies,Art,Newell 307,275
OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,276
OFF-BI-10000050,Office Supplies,Binders,"Angle-D Binders with Locking Rings, Label Holders",277
OFF-BI-10000591,Office Supplies,Binders,Avery Binder Labels,278
TEC-AC-10004855,Technology,Accessories,V7 USB Numeric Keypad,279
OFF-ST-10000352,Office Supplies,Storage,Acco Perma 2700 Stacking Storage Drawers,280
OFF-PA-10000575,Office Supplies,Paper,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",281
OFF-FA-10003112,Office Supplies,Fasteners,Staples,282
OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,283
OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,284
OFF-BI-10001116,Office Supplies,Binders,"Wilson Jones 1"" Hanging DublLock Ring Binders",285
FUR-TA-10001889,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,286
OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,287
FUR-FU-10004020,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame,288
TEC-AC-10003133,Technology,Accessories,Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive,289
FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,290
TEC-AC-10000736,Technology,Accessories,Logitech G600 MMO Gaming Mouse,291
FUR-BO-10003966,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",292
FUR-TA-10001307,Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",293
OFF-ST-10000689,Office Supplies,Storage,"Fellowes Strictly Business Drawer File, Letter/Legal Size",294
OFF-AR-10002135,Office Supplies,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,295
OFF-PA-10003543,Office Supplies,Paper,Xerox 1985,296
OFF-AR-10002221,Office Supplies,Art,12 Colored Short Pencils,297
OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,298
OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",299
OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,300
OFF-ST-10002352,Office Supplies,Storage,Iris Project Case,301
TEC-PH-10000455,Technology,Phones,GE 30522EE2,302
OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,303
TEC-AC-10001465,Technology,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,304
FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",305
OFF-AP-10001394,Office Supplies,Appliances,Harmony Air Purifier,306
FUR-FU-10002553,Furniture,Furnishings,"Electrix Incandescent Magnifying Lamp, Black",307
OFF-PA-10000019,Office Supplies,Paper,Xerox 1931,308
